Title,RottenTomatoesCritics,RottenTomatoesAudience
L.A. Confidential,0.99,0.9
Breakdown,0.8,0.61
The Jackal,0.15,0.56
That Darn Cat,0.13,0.3
Grosse Pointe Blank,0.79,0.84
In & Out,0.73,0.48
Beverly Hills Ninja,0.14,0.54
Eve's Bayou,0.8,0.86
Hercules,0.84,0.68
Scream 2,0.81,0.54
Midnight in the Garden of Good and Evil,0.47,0.63
The 6th Man,0.23,0.54
The Postman,0.09,0.51
Kolya,0.96,0.91
Kama Sutra: A Tale of Love,0.4,0.69
Kull the Conqueror,0.26,0.35
The English Patient,0.83,0.81
Fargo,0.94,0.91
Jerry Maguire,0.85,0.72
Secrets & Lies,0.94,0.9
Shine,0.91,0.89
Ransom,0.73,0.61
Mother,0.91,0.63
Heaven's Prisoners,0.16,0.25
The Associate,0.28,0.53
Screamers,0.3,0.45
Ghosts of Mississippi,0.46,0.64
Romeo + Juliet,0.7,0.76
Alaska,0.18,0.5
Celtic Pride,0.09,0.31
Mary Reilly,0.26,0.4
Fly Away Home,0.85,0.64
Beavis and Butt-head Do America,0.71,0.61
A Time to Kill,0.67,0.83
Supercop,0.95,0.7
The Substitute,0.38,0.44
